conflict_id,country,location,latitude,longitude,year,side_a,side_b,intensity_level,start_date,ep_end
210,RU   ,Russia,61.52401,105.318756,1948,Government of Russia (Soviet Union),Forest Brothers,25-1000/year,12/31/44,1
212,RU   ,Russia,61.52401,105.318756,1948,Government of Russia (Soviet Union),BDPS,25-1000/year,6/30/46,1
213,RU   ,Russia,61.52401,105.318756,1948,Government of Russia (Soviet Union),UPA,At least  1000/per year,12/31/41,0
216,VN   ,Vietnam,14.058324,108.277199,1948,Government of France,Viet minh,At least  1000/per year,11/20/46,0
218,IN   ,India,20.593684,78.96288,1948,Government of India,Government of Pakistan,At least  1000/per year,12/31/48,1
222,MM   ,Myanmar [Burma],21.913965,95.956223,1948,Government of Myanmar (Burma),"CPB, CPB-RF, PVO - White Band faction",At least  1000/per year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1948,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
225,CR   ,Costa Rica,9.748917,-83.753428,1948,Government of Costa Rica,National Liberation Army,At least  1000/per year,3/3/48,1
226,IN   ,India,20.593684,78.96288,1948,Government of Hyderabad,Government of India,At least  1000/per year,9/13/48,1
227,IN   ,India,20.593684,78.96288,1948,Government of India,CPI,At least  1000/per year,5/1/48,0
228,EG   ,Egypt,26.820553,30.802498,1948,"Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria",Government of Israel,At least  1000/per year,4/15/48,0
229,MY   ,Malaysia,4.210484,101.975766,1948,Government of United Kingdom,CPM,25-1000/year,6/19/48,0
230,YE   ,Yemen,15.552727,48.516388,1948,Government of Yemen (North Yemen),Opposition coalition,At least  1000/per year,3/15/48,1
231,MM   ,Myanmar [Burma],21.913965,95.956223,1949,Government of Myanmar (Burma),PNDF,25-1000/year,12/31/49,0
201,KH   ,Cambodia,12.565679,104.990963,1949,Government of France,Khmer Issarak,25-1000/year,8/31/46,0
202,CN   ,China,35.86166,104.195397,1949,Government of China,PLA,At least  1000/per year,12/31/46,1
203,GR   ,Greece,39.074208,21.824312,1949,Government of Greece,DSE,At least  1000/per year,3/31/46,1
204,ID   ,Indonesia,-0.789275,113.921327,1949,Government of Netherlands,Indonesian People's Army,25-1000/year,10/13/45,1
208,LA   ,Laos,19.85627,102.495496,1949,Government of France,Lao Issara,25-1000/year,3/31/46,0
209,PH   ,Philippines,12.879721,121.774017,1949,Government of Philippines,Huk,At least  1000/per year,7/31/46,0
213,RU   ,Russia,61.52401,105.318756,1949,Government of Russia (Soviet Union),UPA,25-1000/year,12/31/41,0
216,VN   ,Vietnam,14.058324,108.277199,1949,Government of France,Viet minh,At least  1000/per year,11/20/46,0
221,MM   ,Myanmar [Burma],21.913965,95.956223,1949,Government of Myanmar (Burma),KNUP,At least  1000/per year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1949,Government of Myanmar (Burma),"CPB, CPB-RF, PVO - White Band faction",At least  1000/per year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1949,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1949,Government of Myanmar (Burma),MFL-MUF,25-1000/year,12/31/48,0
227,IN   ,India,20.593684,78.96288,1949,Government of India,CPI,At least  1000/per year,5/1/48,0
228,EG   ,Egypt,26.820553,30.802498,1949,"Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria",Government of Israel,25-1000/year,4/15/48,1
229,MY   ,Malaysia,4.210484,101.975766,1949,Government of United Kingdom,CPM,25-1000/year,6/19/48,0
232,CN   ,China,35.86166,104.195397,1949,Government of China,Government of Taiwan,At least  1000/per year,10/31/49,0
233,GT   ,Guatemala,15.783471,-90.230759,1949,Government of Guatemala,Military faction (Guatemala),25-1000/year,7/18/49,1
234,IL   ,Israel,31.046051,34.851612,1949,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
235,KP   ,North Korea,40.339852,127.510093,1949,Government of North Korea,Government of South Korea,25-1000/year,5/31/49,0
201,KH   ,Cambodia,12.565679,104.990963,1950,Government of France,Khmer Issarak,25-1000/year,8/31/46,0
208,LA   ,Laos,19.85627,102.495496,1950,Government of France,Lao Issara,25-1000/year,3/31/46,0
209,PH   ,Philippines,12.879721,121.774017,1950,Government of Philippines,Huk,At least  1000/per year,7/31/46,0
213,RU   ,Russia,61.52401,105.318756,1950,Government of Russia (Soviet Union),UPA,25-1000/year,12/31/41,1
216,VN   ,Vietnam,14.058324,108.277199,1950,Government of France,Viet minh,At least  1000/per year,11/20/46,0
221,MM   ,Myanmar [Burma],21.913965,95.956223,1950,Government of Myanmar (Burma),KNUP,At least  1000/per year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1950,Government of Myanmar (Burma),"CPB, CPB-RF, PVO - White Band faction",At least  1000/per year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1950,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1950,Government of Myanmar (Burma),MFL-MUF,25-1000/year,12/31/48,0
227,IN   ,India,20.593684,78.96288,1950,Government of India,CPI,At least  1000/per year,5/1/48,0
229,MY   ,Malaysia,4.210484,101.975766,1950,Government of United Kingdom,CPM,At least  1000/per year,6/19/48,0
231,MM   ,Myanmar [Burma],21.913965,95.956223,1950,Government of Myanmar (Burma),PNDF,25-1000/year,12/31/49,1
232,CN   ,China,35.86166,104.195397,1950,Government of China,Government of Taiwan,25-1000/year,10/31/49,1
234,IL   ,Israel,31.046051,34.851612,1950,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
235,KP   ,North Korea,40.339852,127.510093,1950,Government of North Korea,Government of South Korea,At least  1000/per year,5/31/49,0
236,CN   ,China,35.86166,104.195397,1950,Government of China,Tibet,25-1000/year,10/7/50,1
237,ID   ,Indonesia,-0.789275,113.921327,1950,Government of Indonesia,Republic of South Moluccas,At least  1000/per year,8/5/50,1
238,US   ,United States,37.09024,-95.712891,1950,Government of United States of America,Puerto Rican Nationalist Party,25-1000/year,10/30/50,1
201,KH   ,Cambodia,12.565679,104.990963,1951,Government of France,Khmer Issarak,25-1000/year,8/31/46,0
208,LA   ,Laos,19.85627,102.495496,1951,Government of France,Lao Issara,25-1000/year,3/31/46,0
209,PH   ,Philippines,12.879721,121.774017,1951,Government of Philippines,Huk,At least  1000/per year,7/31/46,0
216,VN   ,Vietnam,14.058324,108.277199,1951,Government of France,Viet minh,At least  1000/per year,11/20/46,0
221,MM   ,Myanmar [Burma],21.913965,95.956223,1951,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1951,Government of Myanmar (Burma),"CPB, PVO - White Band faction",At least  1000/per year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1951,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1951,Government of Myanmar (Burma),MFL-MUF,25-1000/year,12/31/48,0
227,IN   ,India,20.593684,78.96288,1951,Government of India,CPI,At least  1000/per year,5/1/48,1
229,MY   ,Malaysia,4.210484,101.975766,1951,Government of United Kingdom,CPM,At least  1000/per year,6/19/48,0
234,IL   ,Israel,31.046051,34.851612,1951,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
235,KP   ,North Korea,40.339852,127.510093,1951,Government of North Korea,Government of South Korea,At least  1000/per year,5/31/49,0
239,EG   ,Egypt,26.820553,30.802498,1951,Government of Egypt,Government of United Kingdom,25-1000/year,10/18/51,0
240,TH   ,Thailand,15.870032,100.992541,1951,Government of Thailand,Military faction (navy),25-1000/year,6/30/51,1
200,BO   ,Bolivia,-16.290154,-63.588653,1952,Government of Bolivia,MNR,25-1000/year,7/18/46,1
201,KH   ,Cambodia,12.565679,104.990963,1952,Government of France,Khmer Issarak,25-1000/year,8/31/46,0
208,LA   ,Laos,19.85627,102.495496,1952,Government of France,Lao Issara,25-1000/year,3/31/46,0
209,PH   ,Philippines,12.879721,121.774017,1952,Government of Philippines,Huk,At least  1000/per year,7/31/46,0
216,VN   ,Vietnam,14.058324,108.277199,1952,Government of France,Viet minh,At least  1000/per year,11/20/46,0
221,MM   ,Myanmar [Burma],21.913965,95.956223,1952,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1952,Government of Myanmar (Burma),"CPB, PVO - White Band faction",At least  1000/per year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1952,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1952,Government of Myanmar (Burma),MPF,25-1000/year,12/31/48,0
229,MY   ,Malaysia,4.210484,101.975766,1952,Government of United Kingdom,CPM,At least  1000/per year,6/19/48,0
234,IL   ,Israel,31.046051,34.851612,1952,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
235,KP   ,North Korea,40.339852,127.510093,1952,Government of North Korea,Government of South Korea,At least  1000/per year,5/31/49,0
239,EG   ,Egypt,26.820553,30.802498,1952,Government of Egypt,Government of United Kingdom,25-1000/year,10/18/51,1
241,KE   ,Kenya,-0.023559,37.906193,1952,Government of United Kingdom,Mau Mau,25-1000/year,10/22/52,0
201,KH   ,Cambodia,12.565679,104.990963,1953,Government of France,Khmer Issarak,25-1000/year,8/31/46,1
208,LA   ,Laos,19.85627,102.495496,1953,Government of France,Lao Issara,25-1000/year,3/31/46,1
209,PH   ,Philippines,12.879721,121.774017,1953,Government of Philippines,Huk,At least  1000/per year,7/31/46,0
216,VN   ,Vietnam,14.058324,108.277199,1953,Government of France,Viet minh,At least  1000/per year,11/20/46,0
221,MM   ,Myanmar [Burma],21.913965,95.956223,1953,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1953,Government of Myanmar (Burma),"CPB, PVO - White Band faction",At least  1000/per year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1953,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1953,Government of Myanmar (Burma),MPF,25-1000/year,12/31/48,0
229,MY   ,Malaysia,4.210484,101.975766,1953,Government of United Kingdom,CPM,At least  1000/per year,6/19/48,0
234,IL   ,Israel,31.046051,34.851612,1953,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
235,KP   ,North Korea,40.339852,127.510093,1953,Government of North Korea,Government of South Korea,At least  1000/per year,5/31/49,1
241,KE   ,Kenya,-0.023559,37.906193,1953,Government of United Kingdom,Mau Mau,At least  1000/per year,10/22/52,0
242,CU   ,Cuba,21.521757,-77.781167,1953,Government of Cuba,M-26-7,25-1000/year,7/26/53,1
243,ID   ,Indonesia,-0.789275,113.921327,1953,Government of Indonesia,Darul Islam,At least  1000/per year,12/31/53,1
244,MA   ,Morocco,31.791702,-7.09262,1953,Government of France,Istiqlal,25-1000/year,11/7/53,0
245,TN   ,Tunisia,33.886917,9.537499,1953,Government of France,National Liberation Army,25-1000/year,4/30/53,0
233,GT   ,Guatemala,15.783471,-90.230759,1954,Government of Guatemala,Forces of Carlos Castillo Armas,25-1000/year,7/18/49,1
209,PH   ,Philippines,12.879721,121.774017,1954,Government of Philippines,Huk,At least  1000/per year,7/31/46,1
216,VN   ,Vietnam,14.058324,108.277199,1954,Government of France,Viet minh,At least  1000/per year,11/20/46,1
220,PY   ,Paraguay,-23.442503,-58.443832,1954,Government of Paraguay,Military faction (forces of Alfredo Stroessner),25-1000/year,3/7/47,1
221,MM   ,Myanmar [Burma],21.913965,95.956223,1954,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1954,Government of Myanmar (Burma),CPB,25-1000/year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1954,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1954,Government of Myanmar (Burma),MPF,25-1000/year,12/31/48,0
229,MY   ,Malaysia,4.210484,101.975766,1954,Government of United Kingdom,CPM,25-1000/year,6/19/48,0
232,CN   ,China,35.86166,104.195397,1954,Government of China,Government of Taiwan,At least  1000/per year,10/31/49,1
234,IL   ,Israel,31.046051,34.851612,1954,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
241,KE   ,Kenya,-0.023559,37.906193,1954,Government of United Kingdom,Mau Mau,At least  1000/per year,10/22/52,0
244,MA   ,Morocco,31.791702,-7.09262,1954,Government of France,Istiqlal,25-1000/year,11/7/53,0
245,TN   ,Tunisia,33.886917,9.537499,1954,Government of France,National Liberation Army,25-1000/year,4/30/53,0
246,DZ   ,Algeria,28.033886,1.659626,1954,Government of France,FLN,25-1000/year,11/1/54,0
221,MM   ,Myanmar [Burma],21.913965,95.956223,1955,Government of Myanmar (Burma),KNUP,At least  1000/per year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1955,Government of Myanmar (Burma),CPB,25-1000/year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1955,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1955,Government of Myanmar (Burma),MPF,25-1000/year,12/31/48,0
229,MY   ,Malaysia,4.210484,101.975766,1955,Government of United Kingdom,CPM,25-1000/year,6/19/48,0
234,IL   ,Israel,31.046051,34.851612,1955,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
241,KE   ,Kenya,-0.023559,37.906193,1955,Government of United Kingdom,Mau Mau,At least  1000/per year,10/22/52,0
244,MA   ,Morocco,31.791702,-7.09262,1955,Government of France,Istiqlal,25-1000/year,11/7/53,0
245,TN   ,Tunisia,33.886917,9.537499,1955,Government of France,National Liberation Army,25-1000/year,4/30/53,0
246,DZ   ,Algeria,28.033886,1.659626,1955,Government of France,"FLN , MNA",At least  1000/per year,11/1/54,0
247,AR   ,Argentina,-38.416097,-63.616672,1955,Government of Argentina,"Military faction (forces of Eduardo A. Lonardi Doucet), Military faction (forces of Samuel Toranzo Calderón)",25-1000/year,6/16/55,1
248,CY   ,Cyprus,35.126413,33.429859,1955,Government of United Kingdom,EOKA,25-1000/year,6/2/55,0
249,VN   ,Vietnam,14.058324,108.277199,1955,Government of South Vietnam,FNL,At least  1000/per year,4/30/55,0
221,VN   ,Vietnam,14.058324,108.277199,1956,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,VN   ,Vietnam,14.058324,108.277199,1956,Government of Myanmar (Burma),CPB,25-1000/year,2/29/48,0
223,VN   ,Vietnam,14.058324,108.277199,1956,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,VN   ,Vietnam,14.058324,108.277199,1956,Government of Myanmar (Burma),MPF,25-1000/year,12/31/48,0
229,VN   ,Vietnam,14.058324,108.277199,1956,Government of United Kingdom,CPM,25-1000/year,6/19/48,0
234,VN   ,Vietnam,14.058324,108.277199,1956,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
236,VN   ,Vietnam,14.058324,108.277199,1956,Government of China,Tibet,At least  1000/per year,10/7/50,1
241,VN   ,Vietnam,14.058324,108.277199,1956,Government of United Kingdom,Mau Mau,At least  1000/per year,10/22/52,1
242,VN   ,Vietnam,14.058324,108.277199,1956,Government of Cuba,M-26-7,25-1000/year,7/26/53,0
244,VN   ,Vietnam,14.058324,108.277199,1956,Government of France,Istiqlal,25-1000/year,11/7/53,1
245,VN   ,Vietnam,14.058324,108.277199,1956,Government of France,National Liberation Army,25-1000/year,4/30/53,1
246,VN   ,Vietnam,14.058324,108.277199,1956,Government of France,"FLN , MNA",At least  1000/per year,11/1/54,0
248,VN   ,Vietnam,14.058324,108.277199,1956,Government of United Kingdom,EOKA,25-1000/year,6/2/55,0
249,VN   ,Vietnam,14.058324,108.277199,1956,Government of South Vietnam,FNL,At least  1000/per year,4/30/55,0
250,VN   ,Vietnam,14.058324,108.277199,1956,Government of Hungary,Government of Russia (Soviet Union),At least  1000/per year,10/23/56,1
251,VN   ,Vietnam,14.058324,108.277199,1956,Government of India,NNC,25-1000/year,7/20/55,0
252,VN   ,Vietnam,14.058324,108.277199,1956,Government of Egypt,"Government of France, Government of Israel, Government of United Kingdom",At least  1000/per year,10/31/56,1
221,VN   ,Vietnam,14.058324,108.277199,1957,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,VN   ,Vietnam,14.058324,108.277199,1957,Government of Myanmar (Burma),CPB,25-1000/year,2/29/48,0
223,VN   ,Vietnam,14.058324,108.277199,1957,Government of Myanmar (Burma),"APLP, Mujahid Party",25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1957,Government of Myanmar (Burma),MPF,25-1000/year,12/31/48,0
229,MY   ,Malaysia,4.210484,101.975766,1957,Government of United Kingdom,CPM,25-1000/year,6/19/48,1
234,IL   ,Israel,31.046051,34.851612,1957,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
242,CU   ,Cuba,21.521757,-77.781167,1957,Government of Cuba,M-26-7,25-1000/year,7/26/53,0
246,DZ   ,Algeria,28.033886,1.659626,1957,Government of France,"FLN , MNA",At least  1000/per year,11/1/54,0
248,CY   ,Cyprus,35.126413,33.429859,1957,Government of United Kingdom,EOKA,25-1000/year,6/2/55,0
249,VN   ,Vietnam,14.058324,108.277199,1957,Government of South Vietnam,FNL,At least  1000/per year,4/30/55,0
251,IN   ,India,20.593684,78.96288,1957,Government of India,NNC,25-1000/year,7/20/55,0
253,MM   ,Myanmar [Burma],21.913965,95.956223,1957,Government of Myanmar (Burma),KNPP,25-1000/year,12/31/57,1
254,CM   ,Cameroon,7.369722,12.354722,1957,Government of France,UPC,25-1000/year,9/30/57,0
255,HN   ,Honduras,15.199999,-86.241905,1957,Government of Honduras,Government of Nicaragua,25-1000/year,5/1/57,1
256,MR   ,Mauritania,21.00789,-10.940835,1957,Government of France,NLA,25-1000/year,1/12/57,0
257,MR   ,Mauritania,21.00789,-10.940835,1957,Government of Spain,NLA,25-1000/year,11/23/57,0
258,OM   ,Oman,21.512583,55.923255,1957,Government of Oman,State of Oman/Free Oman,25-1000/year,7/31/57,1
221,MM   ,Myanmar [Burma],21.913965,95.956223,1958,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1958,Government of Myanmar (Burma),CPB,25-1000/year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1958,Government of Myanmar (Burma),Mujahid Party,25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1958,Government of Myanmar (Burma),MPF,25-1000/year,12/31/48,0
232,CN   ,China,35.86166,104.195397,1958,Government of China,Government of Taiwan,At least  1000/per year,10/31/49,1
234,IL   ,Israel,31.046051,34.851612,1958,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
242,CU   ,Cuba,21.521757,-77.781167,1958,Government of Cuba,M-26-7,At least  1000/per year,7/26/53,1
243,ID   ,Indonesia,-0.789275,113.921327,1958,Government of Indonesia,"Darul Islam, Permesta Movement, PRRI",At least  1000/per year,12/31/53,0
246,DZ   ,Algeria,28.033886,1.659626,1958,Government of France,FLN,At least  1000/per year,11/1/54,0
248,CY   ,Cyprus,35.126413,33.429859,1958,Government of United Kingdom,EOKA,25-1000/year,6/2/55,0
249,VN   ,Vietnam,14.058324,108.277199,1958,Government of South Vietnam,FNL,At least  1000/per year,4/30/55,0
251,IN   ,India,20.593684,78.96288,1958,Government of India,NNC,25-1000/year,7/20/55,0
254,CM   ,Cameroon,7.369722,12.354722,1958,Government of France,UPC,25-1000/year,9/30/57,0
256,MR   ,Mauritania,21.00789,-10.940835,1958,Government of France,NLA,25-1000/year,1/12/57,1
257,MR   ,Mauritania,21.00789,-10.940835,1958,Government of Spain,NLA,25-1000/year,11/23/57,1
259,IQ   ,Iraq,33.223191,43.679291,1958,Government of Iraq,Military faction (free Officers Movement),25-1000/year,7/14/58,0
260,LB   ,Lebanon,33.854721,35.862285,1958,Government of Lebanon,Independent Nasserite Movement,At least  1000/per year,5/15/58,1
261,MY   ,Malaysia,4.210484,101.975766,1958,Government of Malaysia,CPM,25-1000/year,12/31/57,0
221,MM   ,Myanmar [Burma],21.913965,95.956223,1959,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1959,Government of Myanmar (Burma),CPB,25-1000/year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1959,Government of Myanmar (Burma),Mujahid Party,25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1959,Government of Myanmar (Burma),NMSP,25-1000/year,12/31/48,0
234,IL   ,Israel,31.046051,34.851612,1959,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
236,CN   ,China,35.86166,104.195397,1959,Government of China,Tibet,At least  1000/per year,10/7/50,1
243,ID   ,Indonesia,-0.789275,113.921327,1959,Government of Indonesia,"Darul Islam, Permesta Movement, PRRI",At least  1000/per year,12/31/53,0
246,DZ   ,Algeria,28.033886,1.659626,1959,Government of France,FLN,At least  1000/per year,11/1/54,0
248,CY   ,Cyprus,35.126413,33.429859,1959,Government of United Kingdom,EOKA,25-1000/year,6/2/55,1
249,VN   ,Vietnam,14.058324,108.277199,1959,Government of South Vietnam,FNL,At least  1000/per year,4/30/55,0
251,IN   ,India,20.593684,78.96288,1959,Government of India,NNC,25-1000/year,7/20/55,1
254,CM   ,Cameroon,7.369722,12.354722,1959,Government of France,UPC,25-1000/year,9/30/57,1
259,IQ   ,Iraq,33.223191,43.679291,1959,Government of Iraq,Military faction (forces of Abdul Wahab al-Shawaf),25-1000/year,7/14/58,1
261,MY   ,Malaysia,4.210484,101.975766,1959,Government of Malaysia,CPM,25-1000/year,12/31/57,0
262,LA   ,Laos,19.85627,102.495496,1959,Government of Laos,Pathet Lao,At least  1000/per year,11/12/59,0
264,MM   ,Myanmar [Burma],21.913965,95.956223,1959,Government of Myanmar (Burma),NSH,25-1000/year,11/22/59,0
221,MM   ,Myanmar [Burma],21.913965,95.956223,1960,Government of Myanmar (Burma),KNUP,25-1000/year,12/31/48,0
222,MM   ,Myanmar [Burma],21.913965,95.956223,1960,Government of Myanmar (Burma),CPB,25-1000/year,2/29/48,0
223,MM   ,Myanmar [Burma],21.913965,95.956223,1960,Government of Myanmar (Burma),Mujahid Party,25-1000/year,1/31/48,0
224,MM   ,Myanmar [Burma],21.913965,95.956223,1960,Government of Myanmar (Burma),NMSP,25-1000/year,12/31/48,0
234,IL   ,Israel,31.046051,34.851612,1960,Government of Israel,Palestinian insurgents,25-1000/year,5/15/48,0
243,ID   ,Indonesia,-0.789275,113.921327,1960,Government of Indonesia,"Darul Islam, Permesta Movement, PRRI",25-1000/year,12/31/53,0
246,DZ   ,Algeria,28.033886,1.659626,1960,Government of France,FLN,At least  1000/per year,11/1/54,0
249,VN   ,Vietnam,14.058324,108.277199,1960,Government of South Vietnam,FNL,At least  1000/per year,4/30/55,0
